country,continent,1800,1805,1810,1815,1820,1825,1830,1835,1840,1845,1850,1855,1860,1865,1870,1875,1880,1885,1890,1895,1900,1905,1910,1915,1920,1925,1930,1935,1940,1945,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000
Afghanistan,Asia,7,7,7,7,7,7,7,7,7,,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7.14,7.27,7.4,7.54,7.67,7.67,7.67,7.67,7.67,7.67,7.67,7.68,7.69,7.83,7.73
Aruba,South America,5.64,5.64,5.64,5.64,,,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.68,5.72,5.76,5.8,5.44,4.82,3.84,2.91,2.51,2.39,2.33,2.25,2.06,1.87
Brazil,South America,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.26,6.29,6.26,6.21,6.16,5.88,5.81,5.9,5.9,5.9,5.9,5.9,5.9,5.9,6.04,6.18,6.14,6.21,5.82,5.02,4.5,4.07,3.45,2.81,2.5,2.36
China,Asia,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.38,5.25,4.77,5.29,5.98,3.99,6.02,5.75,3.58,2.32,2.65,2.43,1.68,1.45
Egypt,Africa,6.06,6.06,6.06,6.05,6.05,6.05,6.05,6.05,6.05,6.04,6.04,6.04,6.04,6.04,6.04,6.03,6.03,6.03,6.03,6.03,6.03,6.02,6.02,5.94,6.08,6.07,6.51,5.97,5.87,6.07,6.59,6.66,6.63,6.41,5.94,5.59,5.37,5.05,4.35,3.66,3.31
France,Europe,4.41,4.16,3.9,3.87,3.84,3.78,3.72,3.64,3.56,3.52,3.49,3.24,3.4,3.53,3.44,3.51,3.36,3.32,2.95,2.86,2.8,2.71,2.57,1.52,2.69,2.39,2.3,2.07,2,2.31,2.83,2.68,2.77,2.77,2.49,2.06,1.83,1.84,1.75,1.72,1.82
Germany,Europe,5.4,5.38,5.35,5.33,5.37,5.26,4.78,4.9,4.9,5.02,5.01,4.33,4.9,5.06,5.18,5.46,5.06,5.26,5.2,5.11,4.93,4.6,4.01,3.02,2.4,2.21,1.88,2.03,2.4,1.53,2.07,2.21,2.41,2.48,2.04,1.56,1.47,1.45,1.36,1.31,1.35
India,Asia,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.79,5.75,5.73,5.73,5.72,5.71,5.7,5.74,5.8,5.86,5.92,5.92,5.91,5.89,5.91,5.87,5.78,5.49,5.08,4.68,4.28,3.88,3.47,3.15
Iran,Asia,7.08,7.08,7.08,7.08,7.08,7.08,7.08,7.08,7.08,7.08,7.08,7.08,7.08,7.08,7.08,7.08,7.08,7.08,7.08,7.08,7.08,7.08,7.08,7.08,7.08,7.08,7.05,7.01,6.98,6.95,6.92,6.91,6.93,6.83,6.44,6.21,6.48,6.22,4.82,3.2,2.19
Israel,Asia,6,5.94,5.87,5.81,5.74,5.68,5.61,5.55,5.48,5.42,5.35,5.29,,5.16,5.09,5.03,4.96,4.9,4.83,4.77,4.71,4.64,4.58,4.51,4.45,4.38,4.42,4.13,3.15,4.01,4.52,4.03,3.84,3.81,3.82,3.66,3.28,3.09,3,2.92,2.92
Italy,Europe,5.47,5.47,5.47,5.47,5.47,5.47,5.47,5.47,5.47,5.47,5.47,5.24,5.01,4.91,4.9,4.9,4.98,5.04,4.95,4.74,4.53,4.45,4.39,3.8,3.41,3.72,3.38,2.98,3.07,2.37,2.45,2.28,2.37,2.52,2.47,2.17,1.72,1.41,1.3,1.24,1.22
Japan,Asia,4.08,4.23,4.37,4.44,4.46,,4.51,4.53,,4.62,4.68,4.74,4.8,4.55,3.84,3.74,3.59,3.98,4.18,4.36,4.69,4.52,5.01,4.91,5.35,5.22,4.82,4.59,4.14,3.11,3.51,2.47,2,1.98,2.1,2,1.78,1.72,1.57,1.41,1.32
Mexico,North America,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.19,5.94,5.58,5.82,5.99,5.96,5.89,5.92,6.22,6.62,6.78,6.78,6.77,6.72,5.93,4.71,3.9,3.38,2.97,2.66
Netherlands,Europe,5.11,5.11,5.11,5.11,5.11,5.11,5.11,5.11,5.11,4.99,4.89,4.6,4.75,5.01,5.12,5.31,5.35,5.21,5.07,4.88,4.45,4.29,3.94,3.59,3.89,3.26,3.03,2.57,2.67,2.96,3.1,3.03,3.12,3.04,2.57,1.66,1.6,1.51,1.62,1.53,1.72
Nigeria,Africa,6.55,6.55,6.55,6.55,6.55,6.55,6.55,6.55,6.55,6.55,6.55,6.55,6.55,6.55,6.55,6.55,6.55,6.55,6.55,6.55,6.55,6.55,6.55,6.55,6.55,6.55,6.51,6.47,6.43,6.4,6.36,6.35,6.35,6.34,6.47,6.71,6.78,6.7,6.49,6.26,6.1
Pakistan,Asia,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.59,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.61,6.54,6.41,6.02,5.36,4.47
Qatar,Asia,6.97,6.97,6.97,6.97,6.97,6.97,6.97,6.97,6.97,6.97,6.97,6.97,6.97,6.97,6.97,6.97,6.97,6.97,6.97,6.97,6.97,6.97,6.97,6.97,6.97,6.97,6.97,6.97,6.97,6.97,6.97,6.97,6.97,6.99,6.92,6.47,5.81,4.93,4.02,3.59,3.24
Russia,Europe,7,7,7,7,7,7,7,7,7,7.03,7.07,7.03,6.95,,6.74,7.15,6.8,6.74,6.71,7.34,7.36,6.72,7.2,3.36,6.72,6.8,5.76,4.24,4.2,1.92,2.88,2.8,2.56,2.09,2,1.97,1.86,2.05,1.89,1.34,1.2
Saudi Arabia,Asia,6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.86,6.93,7,7.06,7.13,7.2,7.16,7.22,7.26,7.28,7.31,7.21,6.66,5.84,4.99,3.99
Singapore,Asia,5.47,5.45,5.43,5.42,5.4,5.38,5.36,5.34,5.32,5.31,5.29,5.27,5.25,5.23,5.21,5.2,5.18,5.39,5.69,5.6,5.51,5.42,5.39,5.49,5.73,6.12,6.76,7.39,6.9,6.08,6.49,6.62,5.82,4.36,3.19,2.27,1.82,1.61,1.83,1.67,1.6
Spain,Europe,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,4.83,4.86,5.11,4.84,4.8,4.7,4.8,4.55,4.63,4.49,4.66,4.43,4.22,4.14,3.82,3.68,3.31,3.09,2.91,2.45,2.62,2.77,2.83,2.87,2.75,2.22,1.63,1.34,1.21,1.22
Sweden,Europe,4.07,4.5,4.67,4.93,4.68,5.18,4.67,4.63,4.46,4.46,4.45,4.3,4.71,4.58,4.11,4.6,4.36,4.34,4.15,4.01,4,3.74,3.55,3.01,3.19,2.3,1.93,1.68,1.82,2.59,2.28,2.27,2.2,2.41,1.92,1.77,1.68,1.74,2.14,1.73,1.56
Switzerland,Europe,4.14,4.14,4.14,4.14,4.14,4.14,,4.14,4.14,4.14,4.14,3.44,4.19,4.26,3.99,4.26,3.97,3.71,3.56,3.66,3.83,3.6,3.1,2.61,2.34,2.3,1.99,1.84,1.82,2.6,2.33,2.33,2.52,2.53,2.12,1.67,1.51,1.54,1.55,1.52,1.44
Turkey,Asia,6.92,6.92,6.92,6.92,6.92,6.92,6.92,6.92,6.92,6.92,6.92,6.92,6.92,6.92,6.92,6.92,6.92,6.92,6.92,6.92,6.92,6.89,6.86,6.83,6.8,6.78,6.75,6.72,6.66,6.72,6.67,6.54,6.3,5.95,5.56,5.01,4.36,3.7,3.08,2.72,2.45
United States,North America,7.03,6.92,6.81,6.7,6.59,6.48,6.38,6.28,6.18,5.96,5.73,5.51,5.28,5.15,5.02,4.88,4.75,4.52,4.3,4.08,3.85,3.75,3.59,3.52,3.26,3.01,2.53,2.04,2.11,2.38,3.02,3.54,3.67,2.93,2.46,1.77,1.82,1.84,2.07,1.98,2.05
Venezuela,South America,5.63,5.65,5.66,5.68,5.7,5.72,5.74,5.76,5.78,5.79,5.81,5.83,,5.87,5.89,5.91,5.92,5.94,6.04,5.9,5.67,5.75,5.91,5.71,5.53,5.67,5.52,5.37,5.49,5.73,6.54,6.42,6.62,6.37,5.4,4.67,4.2,3.79,3.45,3.08,2.82