culmen.length,culmen.depth,flipper.length,body.mass,species
39.1,18.7,181,3750,Adelie
39.5,17.4,186,3800,Adelie
40.3,18,195,3250,Adelie
36.7,19.3,193,3450,Adelie
39.3,20.6,190,3650,Adelie
38.9,17.8,181,3625,Adelie
39.2,19.6,195,4675,Adelie
34.1,18.1,193,3475,Adelie
42,20.2,190,4250,Adelie
37.8,17.1,186,3300,Adelie
37.8,17.3,180,3700,Adelie
41.1,17.6,182,3200,Adelie
38.6,21.2,191,3800,Adelie
34.6,21.1,198,4400,Adelie
36.6,17.8,185,3700,Adelie
38.7,19,195,3450,Adelie
42.5,20.7,197,4500,Adelie
34.4,18.4,184,3325,Adelie
46,21.5,194,4200,Adelie
37.8,18.3,174,3400,Adelie
37.7,18.7,180,3600,Adelie
35.9,19.2,189,3800,Adelie
38.2,18.1,185,3950,Adelie
38.8,17.2,180,3800,Adelie
35.3,18.9,187,3800,Adelie
40.6,18.6,183,3550,Adelie
40.5,17.9,187,3200,Adelie
37.9,18.6,172,3150,Adelie
40.5,18.9,180,3950,Adelie
39.5,16.7,178,3250,Adelie
37.2,18.1,178,3900,Adelie
39.5,17.8,188,3300,Adelie
40.9,18.9,184,3900,Adelie
36.4,17,195,3325,Adelie
39.2,21.1,196,4150,Adelie
38.8,20,190,3950,Adelie
42.2,18.5,180,3550,Adelie
37.6,19.3,181,3300,Adelie
39.8,19.1,184,4650,Adelie
36.5,18,182,3150,Adelie
40.8,18.4,195,3900,Adelie
36,18.5,186,3100,Adelie
44.1,19.7,196,4400,Adelie
37,16.9,185,3000,Adelie
39.6,18.8,190,4600,Adelie
41.1,19,182,3425,Adelie
37.5,18.9,179,2975,Adelie
36,17.9,190,3450,Adelie
42.3,21.2,191,4150,Adelie
39.6,17.7,186,3500,Adelie
46.5,17.9,192,3500,Chinstrap
50,19.5,196,3900,Chinstrap
51.3,19.2,193,3650,Chinstrap
45.4,18.7,188,3525,Chinstrap
52.7,19.8,197,3725,Chinstrap
45.2,17.8,198,3950,Chinstrap
46.1,18.2,178,3250,Chinstrap
51.3,18.2,197,3750,Chinstrap
46,18.9,195,4150,Chinstrap
51.3,19.9,198,3700,Chinstrap
46.6,17.8,193,3800,Chinstrap
51.7,20.3,194,3775,Chinstrap
47,17.3,185,3700,Chinstrap
52,18.1,201,4050,Chinstrap
45.9,17.1,190,3575,Chinstrap
50.5,19.6,201,4050,Chinstrap
50.3,20,197,3300,Chinstrap
58,17.8,181,3700,Chinstrap
46.4,18.6,190,3450,Chinstrap
49.2,18.2,195,4400,Chinstrap
42.4,17.3,181,3600,Chinstrap
48.5,17.5,191,3400,Chinstrap
43.2,16.6,187,2900,Chinstrap
50.6,19.4,193,3800,Chinstrap
46.7,17.9,195,3300,Chinstrap
52,19,197,4150,Chinstrap
50.5,18.4,200,3400,Chinstrap
49.5,19,200,3800,Chinstrap
46.4,17.8,191,3700,Chinstrap
52.8,20,205,4550,Chinstrap
40.9,16.6,187,3200,Chinstrap
54.2,20.8,201,4300,Chinstrap
42.5,16.7,187,3350,Chinstrap
51,18.8,203,4100,Chinstrap
49.7,18.6,195,3600,Chinstrap
47.5,16.8,199,3900,Chinstrap
47.6,18.3,195,3850,Chinstrap
52,20.7,210,4800,Chinstrap
46.9,16.6,192,2700,Chinstrap
53.5,19.9,205,4500,Chinstrap
49,19.5,210,3950,Chinstrap
46.2,17.5,187,3650,Chinstrap
50.9,19.1,196,3550,Chinstrap
45.5,17,196,3500,Chinstrap
50.9,17.9,196,3675,Chinstrap
50.8,18.5,201,4450,Chinstrap
50.1,17.9,190,3400,Chinstrap
49,19.6,212,4300,Chinstrap
51.5,18.7,187,3250,Chinstrap
49.8,17.3,198,3675,Chinstrap
46.1,13.2,211,4500,Gentoo
50,16.3,230,5700,Gentoo
48.7,14.1,210,4450,Gentoo
50,15.2,218,5700,Gentoo
47.6,14.5,215,5400,Gentoo
46.5,13.5,210,4550,Gentoo
45.4,14.6,211,4800,Gentoo
46.7,15.3,219,5200,Gentoo
43.3,13.4,209,4400,Gentoo
46.8,15.4,215,5150,Gentoo
40.9,13.7,214,4650,Gentoo
49,16.1,216,5550,Gentoo
45.5,13.7,214,4650,Gentoo
48.4,14.6,213,5850,Gentoo
45.8,14.6,210,4200,Gentoo
49.3,15.7,217,5850,Gentoo
42,13.5,210,4150,Gentoo
49.2,15.2,221,6300,Gentoo
46.2,14.5,209,4800,Gentoo
48.7,15.1,222,5350,Gentoo
50.2,14.3,218,5700,Gentoo
45.1,14.5,215,5000,Gentoo
46.5,14.5,213,4400,Gentoo
46.3,15.8,215,5050,Gentoo
42.9,13.1,215,5000,Gentoo
46.1,15.1,215,5100,Gentoo
44.5,14.3,216,4100,Gentoo
47.8,15,215,5650,Gentoo
48.2,14.3,210,4600,Gentoo
50,15.3,220,5550,Gentoo
47.3,15.3,222,5250,Gentoo
42.8,14.2,209,4700,Gentoo
45.1,14.5,207,5050,Gentoo
59.6,17,230,6050,Gentoo
49.1,14.8,220,5150,Gentoo
48.4,16.3,220,5400,Gentoo
42.6,13.7,213,4950,Gentoo
44.4,17.3,219,5250,Gentoo
44,13.6,208,4350,Gentoo
48.7,15.7,208,5350,Gentoo
42.7,13.7,208,3950,Gentoo
49.6,16,225,5700,Gentoo
45.3,13.7,210,4300,Gentoo
49.6,15,216,4750,Gentoo
50.5,15.9,222,5550,Gentoo
43.6,13.9,217,4900,Gentoo
45.5,13.9,210,4200,Gentoo
50.5,15.9,225,5400,Gentoo
44.9,13.3,213,5100,Gentoo
45.2,15.8,215,5300,Gentoo
